,Quarter,County,Price_count,Price_min,Price_mean,Price_max,Price_median,Price_25p,Price_75p,Price_90p,immigrants,private_households,persons_private_households,household_values,investment_country,gdp_growth,gdp_growth_based,gdp_values,population,infliation,infliation_based,unemployment,unemployment_based
102,2010-Q4,Wexford,192,10000,176318.546875,522000,155000.0,113473.5,225000.0,282488.8,41800.0,52652,144349,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
103,2010-Q4,Wicklow,204,55000,291439.7450980392,1850000,250000.0,175000.0,346250.0,438500.00000000006,41800.0,47798,135259,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
104,2011-Q1,Carlow,41,35000,164626.9024390244,278500,160000.0,135000.0,197500.0,237500.0,53300.0,19436,54187,106,23664920000,1,3153.3365764033724,45072.58,4585000,1.2,3962.0174727148105,15.4,15949.823100558038
105,2011-Q1,Cavan,57,25000,172300.80701754385,1150000,137445.0,90000.0,194000.0,312000.0,53300.0,25818,72625,106,23664920000,1,3153.3365764033724,45072.58,4585000,1.2,3962.0174727148105,15.4,15949.823100558038
106,2011-Q1,Clare,79,21000,169347.16455696203,430000,150000.0,106641.5,210550.0,296000.0,53300.0,42648,115587,106,23664920000,1,3153.3365764033724,45072.58,4585000,1.2,3962.0174727148105,15.4,15949.823100558038
107,2011-Q1,Cork,390,8000,218729.89487179488,1570000,195000.0,137812.5,260000.0,352679.80000000005,53300.0,188019,512300,106,23664920000,1,3153.3365764033724,45072.58,4585000,1.2,3962.0174727148105,15.4,15949.823100558038
108,2011-Q1,Donegal,98,25000,139603.38775510204,497500,115000.0,84375.0,165250.0,251500.0,53300.0,57964,159139,106,23664920000,1,3153.3365764033724,45072.58,4585000,1.2,3962.0174727148105,15.4,15949.823100558038
109,2011-Q1,Dublin,1081,20000,327718.2229417206,7000000,252000.0,180000.0,370000.0,560000.0,53300.0,90019,263723,106,23664920000,1,3153.3365764033724,45072.58,4585000,1.2,3962.0174727148105,15.4,15949.823100558038
110,2011-Q1,Galway,168,15000,233455.57142857142,2725361,170000.0,140421.0,240000.0,382197.8000000001,53300.0,27726,70918,106,23664920000,1,3153.3365764033724,45072.58,4585000,1.2,3962.0174727148105,15.4,15949.823100558038
111,2011-Q1,Kerry,106,15000,167252.64150943398,620000,156500.0,100000.0,227500.0,274360.5,53300.0,53306,140975,106,23664920000,1,3153.3365764033724,45072.58,4585000,1.2,3962.0174727148105,15.4,15949.823100558038
